,YEAR,SEX,AGE_GROUP,deaths,rate
0,1979,Males,0–4,50.0,8.6
1,1979,Males,5–9,13.0,1.9
2,1979,Males,10–14,8.0,1.2
3,1979,Males,15–19,27.0,4.0
4,1979,Males,20–24,31.0,4.9
5,1979,Males,25–29,24.0,4.0
6,1979,Males,30–34,8.0,1.4
7,1979,Males,35–39,16.0,3.4
8,1979,Males,40–44,7.0,1.7
9,1979,Males,45–49,16.0,4.1
10,1979,Males,50–54,13.0,3.3
11,1979,Males,55–59,10.0,2.8
12,1979,Males,60–64,16.0,5.7
13,1979,Males,65–69,9.0,3.8
14,1979,Males,70–74,6.0,3.6
15,1979,Males,75–79,4.0,4.0
16,1979,Males,80–84,2.0,4.4
17,1979,Males,85+,1.0,3.8
18,1979,Males,Missing,0.0,
19,1979,Females,0–4,46.0,8.2
20,1979,Females,5–9,5.0,0.8
21,1979,Females,10–14,3.0,0.5
22,1979,Females,15–19,2.0,0.3
23,1979,Females,20–24,1.0,0.2
24,1979,Females,25–29,1.0,0.2
25,1979,Females,30–34,2.0,0.4
26,1979,Females,35–39,2.0,0.5
27,1979,Females,40–44,2.0,0.5
28,1979,Females,45–49,1.0,0.3
29,1979,Females,50–54,4.0,1.0
30,1979,Females,55–59,2.0,0.5
31,1979,Females,60–64,1.0,0.3
32,1979,Females,65–69,2.0,0.7
33,1979,Females,70–74,3.0,1.4
34,1979,Females,75–79,0.0,0.0
35,1979,Females,80–84,1.0,1.1
36,1979,Females,85+,1.0,1.5
37,1979,Females,Missing,0.0,
38,1980,Males,0–4,60.0,10.3
39,1980,Males,5–9,13.0,1.9
40,1980,Males,10–14,8.0,1.2
41,1980,Males,15–19,24.0,3.6
42,1980,Males,20–24,15.0,2.3
43,1980,Males,25–29,25.0,4.1
44,1980,Males,30–34,16.0,2.7
45,1980,Males,35–39,17.0,3.5
46,1980,Males,40–44,15.0,3.6
47,1980,Males,45–49,20.0,5.3
48,1980,Males,50–54,17.0,4.3
49,1980,Males,55–59,8.0,2.2
50,1980,Males,60–64,9.0,3.2
51,1980,Males,65–69,4.0,1.6
52,1980,Males,70–74,2.0,1.2
53,1980,Males,75–79,7.0,6.8
54,1980,Males,80–84,2.0,4.1
55,1980,Males,85+,1.0,3.7
56,1980,Males,Missing,2.0,
57,1980,Females,0–4,36.0,6.5
58,1980,Females,5–9,3.0,0.5
59,1980,Females,10–14,4.0,0.6
60,1980,Females,15–19,2.0,0.3
61,1980,Females,20–24,6.0,1.0
62,1980,Females,25–29,1.0,0.2
63,1980,Females,30–34,3.0,0.5
64,1980,Females,35–39,2.0,0.4
65,1980,Females,40–44,1.0,0.3
66,1980,Females,45–49,1.0,0.3
67,1980,Females,50–54,3.0,0.8
68,1980,Females,55–59,3.0,0.8
